Date,Time,Open,High,Low,Close,Volume
2023.01.06,03:15,1.19184,1.19201,1.1916,1.1918,1320
2023.01.06,03:30,1.19183,1.19211,1.19115,1.19146,871
2023.01.06,03:45,1.19152,1.19199,1.19146,1.1918,708
2023.01.06,04:00,1.19184,1.19268,1.19183,1.19265,515
2023.01.06,04:15,1.19265,1.19299,1.1924,1.19265,782
2023.01.06,04:30,1.19264,1.19275,1.19223,1.19242,2424
2023.01.06,04:45,1.19242,1.19256,1.19216,1.19245,1793
2023.01.06,05:00,1.19245,1.19347,1.19236,1.19305,961
2023.01.06,05:15,1.19304,1.19322,1.19245,1.19302,612
2023.01.06,05:30,1.19301,1.19337,1.1926,1.19296,1024
2023.01.06,05:45,1.19299,1.19351,1.19275,1.19279,682
2023.01.06,06:00,1.19279,1.19279,1.19208,1.19266,469
2023.01.06,06:15,1.19268,1.19334,1.19268,1.19319,517
2023.01.06,06:30,1.19317,1.19335,1.19307,1.1931,482
2023.01.06,06:45,1.19312,1.19314,1.19225,1.19228,630
2023.01.06,07:00,1.19228,1.19246,1.19115,1.1913,1371
2023.01.06,07:15,1.19128,1.19149,1.19048,1.19055,903
2023.01.06,07:30,1.19056,1.19094,1.19018,1.19091,715
2023.01.06,07:45,1.1909,1.191,1.18979,1.19033,1728
2023.01.06,08:00,1.19035,1.19201,1.1903,1.1919,1270
2023.01.06,08:15,1.19194,1.19206,1.19116,1.1916,990
2023.01.06,08:30,1.19162,1.19179,1.19086,1.19102,950
2023.01.06,08:45,1.19104,1.19132,1.19038,1.1906,884
